job_title,skills_text,clean_title,role_label
Data Scientist,at capgemini engineering the world leader in engineering services we bring together a global team of engineers scientists and architects to help the worlds most innovative companies unleash their potential from autonomous cars to lifesaving robots our digital and software technology experts think outside the box as they provide unique rd and engineering services across all industries join us for a career full of opportunities where you can make a difference where no two days are the same your role we are seeking a highly analytical and innovative data scientist to join our team the ideal candidate will be responsible for extracting insights from complex datasets building predictive models and supporting datadriven decisionmaking across manufacturing operations key responsibilities of this role collect clean and preprocess structured and unstructured data from various sources develop and implement statistical models machine learning algorithms and data mining techniques perform exploratory data analysis to identify trends patterns and anomalies translate business problems into analytical solutions and communicate findings effectively collaborate with crossfunctional teams to integrate data science solutions into business processes create visualizations and dashboards to present insights to stakeholders continuously monitor model performance and update models as needed document methodologies experiments and results for reproducibility and knowledge sharing your profile bachelors or masters degree in data science computer science statistics or a related field 25 years of experience in data science or advanced analytics preferably in a manufacturing context proficiency in python r sql and machine learning libraries eg scikitlearn tensorflow experience with data visualization tools such as power bi tableau or matplotlib strong understanding of statistical analysis predictive modeling and data wrangling familiarity with cloud platforms eg azure aws gcp and big data technologies excellent problemsolving and communication skills experience with agilescrum methodologies is a plus what youll love about working here flexible work arrangementswork remotely or adjust work hours for a balanced lifestyle career growth opportunitiesaccess diverse roles and career development programs training certificationsequip yourself with valuable certifications in emerging technologies capgemini is a global business and technology transformation partner helping organizations to accelerate their dual transition to a digital and sustainable world while creating tangible impact for enterprises and society it is a responsible and diverse group of 340000 team members in more than 50 countries with its strong over 55year heritage capgemini is trusted by its clients to unlock the value of technology to address the entire breadth of their business needs it delivers endtoend services and solutions leveraging strengths from strategy and design to engineering all fueled by its market leading capabilities in ai generative ai cloud and data combined with its deep industry expertise and partner ecosystem,data scientist,data scientist
Data Scientist - 6 months contract,mllers solutions is seeking a skilled data scientist for a 6month contract position in this role you will utilize your expertise in machine learning statistical analysis and data modeling to extract meaningful insights from complex data sets you will work collaboratively with crossfunctional teams to develop predictive models and datadriven solutions that address business challenges and enhance organizational performance responsibilities analyze large and complex data sets to identify trends patterns and relationships develop and implement machine learning models to solve specific business problems collaborate with stakeholders to define data requirements and translate business needs into data science problems prepare data for analysis including data cleaning preprocessing and transformation communicate findings and insights to stakeholders through reports dashboards and presentations stay current with advancements in data science machine learning techniques and industry best practices monitor and maintain existing predictive models updating them as necessary participate in data governance and data quality initiatives to ensure data integrity why join us opportunity to work with a talented and passionate team competitive salary and benefits package exciting projects and innovative work environment bachelors or masters degree in data science statistics mathematics or a related field proven experience as a data scientist or in a similar analytical role strong proficiency in programming languages such as python or r along with experience in data manipulation libraries e g pandas numpy familiarity with machine learning libraries and frameworks e g scikitlearn tensorflow keras experience with data visualization tools e g tableau power bi to present insights effectively solid understanding of statistical analysis modeling techniques and validation methods excellent problemsolving skills and ability to work with large datasets strong communication skills to convey complex concepts to nontechnical audiences ability to work independently and in a teamoriented environment experience with sql and database management is a plus,data scientist months contract,data scientist
Senior Data Scientist  - Oil and Gas background,position purpose we are seeking a highly skilled data scientist with a strong foundation in statistics machine learning and data analysis to extract actionable insights and build predictive models that support business and operational decisionmaking the role focuses on transforming complex data into meaningful trends patterns and forecasts while collaborating closely with business stakeholders analysts and data engineers key responsibilities analyze large and complex datasets to extract insights trends and predictive patterns build evaluate and interpret machine learning models for realworld business and scientific use cases perform data wrangling cleaning and preprocessing using tools such as pandas sql and spark design and implement feature engineering and data preparation pipelines apply supervised and unsupervised learning techniques includingregression classification clustering anomaly detection time series forecasting conduct model evaluation using appropriate metrics accuracy precision recall f1score rocauc r etc apply statistical analysis hypothesis testing and experimental design techniques including ab testing work with time series data to develop forecasting and trend analysis models collaborate closely with business stakeholders to translate business problems into data science solutions partner with data engineers to support data pipelines model deployment and data availability develop clear visualizations and dashboards to communicate findings using tools such as power bi tableau and python visualization libraries document methodologies assumptions and outcomes to ensure transparency and reproducibility required qualifications skills strong foundation in statistics probability and hypothesis testing solid understanding of machine learning algorithms and modeling techniques proficiency in python andor r including jupyter notebooks experience with data preprocessing feature engineering and model tuning strong knowledge of sql and relational data structures handson experience with ml libraries such asscikitlearn tensor flow pytorch strong analytical and problemsolving mindset ability to interpret models and explain results to nontechnical stakeholders strong business and domain understanding to ensure insights are actionable and relevant preferred additional skills experience with big data technologies such as hadoop and apache spark knowledge of experimental design ab testing and causal inference experience in data visualization usingpower bitableau matplotlib seaborn familiarity with data pipelines and production environments experience working in enterprisescale or oil gas environments is a strong plus collaboration work style ability to work crossfunctionally withbusiness stakeholders analysts data engineers strong communication and documentation skills ability to manage multiple priorities in a fastpaced environment continuous learner with a strong interest in emerging data science techniques employment type level open for junior and senior levels based on experience and assessment fulltime position,data scientist oil and gas background,data scientist
Senior Data Scientist (Project-Based / Contractual),role overview we are seeking senior data scientists for a projectbased engagement the role will start upon project award and is limited to the project duration the senior data scientist will lead advanced analytics initiatives build predictive models perform anomaly detection and support ai experimentation to drive actionable insights for the project key responsibilities develop predictive prescriptive and machine learning models to support business objectives perform anomaly detection trend analysis and statistical modeling on complex datasets design and execute aiml experiments to validate hypotheses and optimize performance collaborate with data engineers architects and business stakeholders to ingest clean and model data communicate insights visualizations and recommendations to senior stakeholders ensure best practices in data quality reproducibility and model governance are followed required qualifications experience 610 years experience in data science machine learning or advanced analytics strong expertise in python r sql or equivalent tools proven experience in predictive modeling anomaly detection and ai experimentation experience with cloud platforms aws azure gcp and ml frameworks tensorflow pytorch scikitlearn strong problemsolving skills and ability to work in fastpaced projectbased environments excellent communication and visualization skills to convey insights to technical and nontechnical stakeholders engagement model projectbased contractual role engagement begins upon project award and continues for the project duration fulltime commitment during active project phases job type contract,data scientist project based contractual,data scientist
AI Value Realization Expert,job title ai value realization expert key responsibilities act as a bridge between business units and technical teams to ensure ai initiatives align with business priorities lead use case intake assessment and prioritization with stakeholders and implementation teams define and implement value realization frameworks for ai projects translate business requirements into clear use case charters with defined outcomes and kpis support feasibility assessments and identify suitable data sources ai capabilities and solutions track project delivery manage risks dependencies and change requests ensure crossfunctional alignment across data engineering mlops aiml and data governance teams validate value realization and adoption with business sponsors postdelivery maintain an uptodate pipeline of ai and advanced analytics initiatives contribute to improving demand management processes templates and governance embed data quality compliance and ethical ai considerations early in project lifecycles experience required 37 years of relevant experience in ai data analytics or related fields expertise required data quality data governance vertex ai gen ai ai ethics data engineering,ai value realization expert,ai/ml engineer
Generative AI & NLP Data Scientist | Scale & Deploy LLMs,a technology solutions company is seeking a data scientist with expertise in generative ai and nlp to develop intelligent datadriven solutions the role involves designing and deploying generative ai applications building ml pipelines and collaborating with teams to analyze complex business problems ideal candidates should have a strong foundation in data science and handson experience with llm finetuning nlp techniques and proficiency in python this position offers a chance to work on cuttingedge ai technology in a dynamic environment j18808ljbffr,generative ai nlp data scientist scale deploy llms,data scientist
Senior GenAI Data Scientist — Arabic/English Commerce AI,a regional tech company in saudi arabia is looking for a seniorstaff data scientist specializing in genai this role will architect ai systems for merchants focusing on content generation and customer support candidates should have 5 years in mlnlp and experience with llm systems a masters degree and fluency in arabic are preferred this position directly influences how merchants operate in the region,genai data scientist arabic english commerce ai,data scientist
Senior Data Scientist: ML & Business Analytics Lead,une entreprise danalyse de donnes recherche un data scientist senior pour construire des solutions en analyses statistiques et apprentissage automatique le candidat doit avoir plus de 6 ans dexprience matriser python sql et des outils de visualisation comme power bi les responsabilits incluent le dveloppement de modles lanalyse de datasets la collaboration interquipes et la formation de data scientists juniors ce poste est bas en arabie saoudite dans la rgion de riyadh j18808ljbffr,data scientist ml business analytics,data scientist
Ai and Data Scientist Study and Intern,roles responsibilities collaborate with our esteemed ai data science experts to collect clean and analyze extensive datasets honing skills in data preprocessing and visualization contribute to the development of predictive models and algorithms employing cuttingedge machine learning techniques to solve realworld challenges work closely with team members to design implement and evaluate experiments fostering a collaborative and innovative environment stay updated with the latest industry trends and best practices in data science applying newfound knowledge to enhance project outcomes qualifications currently pursuing any degree showcasing a strong commitment to continuous learning and professional growth exceptional written and verbal communication skills vital for effective collaboration and articulation of complex ideas demonstrated ability to work both independently and as part of a cohesive team highlighting adaptability and strong teamwork capabilities,ai and data scientist study and,data scientist
Data Scientist,responsibilities contribute technically to data and analytics projects develop insights for clients through data exploration conduct consulting assignments for clients to derive value from their products and services ensure clients progress to best in class or industryregional standards for all analytical engagements develop internal collateral for use in pitches and case studies on specific subject matter expertise communicate effectively with the project manager and team regarding the progress of the project work with management to prioritize business and information needs locate and define new process improvement opportunities data mining of financial records andor accounts to identify inconsistencies fraud and other anomalies development of software applications and automation tools to process data of a significant size manipulation of data sets to understand their meaning and recreation of database systems to assist in providing business insights to clients setting up database infrastructure and systems undertake quality control measures to ensure consistent and accurate work practices working with a team to solve complex problems experienced in business qualifications minimum of 10 years relevant risk banking or analytical experience proven working experience with data analytics technical expertise regarding data models database design development data mining and segmentation techniques strong analytical skills with the ability to collect organize analyze and disseminate significant amounts of information with attention to detail and accuracy adept at queries report writing and presenting findings experience in a programming languages sql sas python or r bs in mathematics economics computer science information management or statistics required skills data structure basic software development data analysis technical writing data analysis hr metrics job details location riyadh saudi arabia industry other job type fulltime degree bachelor experience 10 15 nationality unspecified,data scientist,data scientist
Sr. Data Scientist,company description hyper lychee labs is a dynamic it services and consulting company delivering innovative solutions to a diverse client base including fortune 500 companies leading startups and government entities we specialize in harnessing the power of technology to transform businesses and industries while fostering meaningful societal impact with a team of talented and passionate professionals we collaborate closely with clients to create custom software implement complex systems and provide strategic consulting tailored to their unique needs our company is driven by a strong commitment to transparency accountability and inclusivity fostering a culture that values creativity and diverse perspectives to deliver exceptional results join us and become part of our mission to empower organizations to thrive in an everevolving world role description this is a 4 months contractbased onsite riyad based role for a senior data scientist the sr data scientist will focus on designing and implementing advanced ml models and algorithms to address complex business challenges using sas the role involves statistical modeling ml data analysis data visualization and extracting actionable insights from large datasets collaborating with crossfunctional teams the sr data scientist will develop predictive models and machine learning algorithms as well as communicate results and strategic recommendations to stakeholders this position provides an opportunity to work on cuttingedge projects and drive impactful outcomes qualifications proficiency in data science including machine learning and predictive modeling strong knowledge of statistics and advanced statistical modeling 8 yrs of overall analytics exp expertise in data analytics and data analysis for informed decisionmaking skills in data visualization for effectively presenting insights and findings proficiency with data science tools and programming languages such as sas sql must have solid coding experience with base sas sas enterprise guide sas eminer or sas vaya etc should be able to handle large datasets using sas proc data procedures with effective data transformation aggregation developing views using data sql ability to work remotely and independently with excellent timemanagement skills masters or phd in data science statistics computer science or a related field is strongly preferred experience with cloud platforms eg aws google cloud azure and big data tools eg hadoop spark is a plus,data scientist,data scientist
Senior Data Scientist,about us where elite tech talent meets worldclass opportunities at xenon7 we work with leading enterprises and innovative startups on exciting cuttingedge projects that leverage the latest technologies across various domains of it including data web infrastructure ai and many others our expertise in it solutions development and ondemand resources allows us to partner with clients on transformative initiatives driving innovation and business growth whether its empowering global organizations or collaborating with trailblazing startups we are committed to delivering advanced impactful solutions that meet todays most complex challenges about the client join one of egypts premier financial institutions renowned for its extensive suite of banking services including institutional banking personal banking and islamic banking with a global presence through over 50 branches and correspondents we serve a diverse and dynamic clientele as we embark on a groundbreaking digital transformation journey we are committed to leveraging the latest technologies to establish a stateoftheart data architecture that will redefine our performance and service delivery position overview seeking highly skilled and motivated senior data scientists to join our growing team in these roles you will play a critical part in designing developing and delivering advanced datadriven solutions that drive key business decisions while spearheading advanced analytics and machine learning initiatives across the bank key responsibilities lead and mentor junior data scientists providing technical guidance code reviews and career development support analyze complex datasets to extract actionable insights using advanced statistical and machine learning techniques build and optimize predictive models recommendation systems clustering models and timeseries forecasting solutions collaborate with crossfunctional teams including engineering product and business stakeholders to integrate datadriven solutions into production systems collaborate with mlops and engineering teams to automate model deployment monitoring and retraining pipelines using tools such as mlflow airflow or kubeflow translate analytical results into business kpis and measure the impact of models on key financial and operational outcomes explore emerging ai capabilities including genai and llmbased solutions for document analysis knowledge retrieval and customer interaction write clean maintainable code primarily in python and sql for data analysis model development and deployment communicate findings and model performance clearly to technical and nontechnical stakeholders through reports and presentations ensure model governance and fairness in line with banking regulatory requirements eg mrm compliance and audit standards requirements bachelors or masters degree in computer science engineering statistics mathematics or a related field senior data scientist 45 years of handson experience in data science roles with proven ability to mentor junior team members fluency in arabic and english skills and expertise strong analytical and problemsolving mindset deep expertise in machine learning algorithms and statistical methods practical experience with deep learning architectures and techniques proficient in python and sql for data manipulation analysis and model development familiarity with frameworks such as tensorflow pytorch scikitlearn and keras handson experience with predictive modeling customer segmentation recommendation systems and timeseries forecasting experience with time series analysis using arima lstm and prophet familiarity with clustering techniques like kmeans and gaussian mixture models understanding of recommendation systems including collaborative filtering contentbased hybrid models and deep learningbased recommenders ability to leverage machine learning algorithms like random forest svm and xgboost strong communication skills to present technical concepts to both technical and nontechnical audiences ability to work collaboratively in crossfunctional teams selfdriven highly organized and capable of handling multiple projects simultaneously commitment to continuous learning and staying updated with advancements in data science and ai benefits attractive marketleading salary package clear career advancement path with professional development opportunities oneyear contract with xenon7 presenting a significant opportunity for renewal,data scientist,data scientist
